data_base,porte,carteira_ativa,carteira_inadimplida_arrastada,ticket
2013-07-01,PF - Indisponível                            ,566498700.49,19972325.27,50996.93663023422
2013-07-01,PF - Mais de 1 a 2 salários mínimos          ,21568256445.27,401333618.17,36981.27385182748
2013-07-01,PF - Mais de 10 a 20 salários mínimos        ,62977290173.08,645052142.59,77199.64855729797
2013-07-01,PF - Mais de 2 a 3 salários mínimos          ,37512290337.65,707280023.08,40676.60871915949
2013-07-01,PF - Mais de 3 a 5 salários mínimos          ,47060209899.99,778192880.98,49431.02439241645
2013-07-01,PF - Mais de 5 a 10 salários mínimos         ,56641396393.48,742685701.83,59230.54533978359
2013-07-01,PF - Sem rendimento                          ,1645421149.58,30384426.76,72120.50936646936
2013-08-01,PF - Acima de 20 salários mínimos            ,61190277456.130005,574506026.6,124364.81454418229
2013-08-01,PF - Até 1 salário mínimo                    ,9064003342.460001,98329803.02,46242.909480018905
2013-08-01,PF - Indisponível                            ,557094052.57,18965065.12,50686.336981274944
2013-08-01,PF - Mais de 1 a 2 salários mínimos          ,21816612562.01,417588744.1,35907.25736110193
2013-08-01,PF - Mais de 10 a 20 salários mínimos        ,64808854174.380005,641196697.41,74578.58105655233
2013-08-01,PF - Mais de 2 a 3 salários mínimos          ,38260935870.74,755493554.8100001,39297.54784267088
2013-08-01,PF - Mais de 3 a 5 salários mínimos          ,48208596573.06,845154441.75,48459.512297978414
2013-08-01,PF - Mais de 5 a 10 salários mínimos         ,58386856417.17,790020022.18,57468.42647132979
2013-08-01,PF - Sem rendimento                          ,1630448771.0,34723043.15,73189.25539152323
2013-09-01,PF - Acima de 20 salários mínimos            ,62176276737.54,632046740.86,141201.2496819217
2013-09-01,PF - Até 1 salário mínimo                    ,11326345797.58,115538348.46000001,46004.83908625404
2013-09-01,PF - Indisponível                            ,548730249.62,17314052.66,51250.63095268487
2013-09-01,PF - Mais de 1 a 2 salários mínimos          ,22046432792.05,454258358.66,30159.842319955867
2013-09-01,PF - Mais de 10 a 20 salários mínimos        ,65101547290.24,737951731.48,87301.13388625972
2013-09-01,PF - Mais de 2 a 3 salários mínimos          ,38850776476.79,850443552.47,36522.7449633704
2013-09-01,PF - Mais de 3 a 5 salários mínimos          ,48709393284.52,940782915.15,46550.64916536687
2013-09-01,PF - Mais de 5 a 10 salários mínimos         ,58432161460.53,881547481.0699999,60522.495091242454
2013-09-01,PF - Sem rendimento                          ,1599542659.84,38037941.52,71686.79058476092
2013-10-01,PF - Acima de 20 salários mínimos            ,60556592242.05,680460830.25,144079.44689304216
2013-10-01,PF - Até 1 salário mínimo                    ,14157317724.73,139308673.64,48544.85937160927
2013-10-01,PF - Indisponível                            ,540297666.88,17498678.18,51518.89853060078
2013-10-01,PF - Mais de 1 a 2 salários mínimos          ,22388959817.31,481855550.57,30117.892668787128
2013-10-01,PF - Mais de 10 a 20 salários mínimos        ,65110880398.95,782303497.55,87880.4605259882
2013-10-01,PF - Mais de 2 a 3 salários mínimos          ,39393184862.02,886346233.8,36079.94087225002
2013-10-01,PF - Mais de 3 a 5 salários mínimos          ,49289607823.01,988838673.0400001,45204.71520293671
2013-10-01,PF - Mais de 5 a 10 salários mínimos         ,58764411236.49,920178650.26,60584.64663440482
2013-10-01,PF - Sem rendimento                          ,1530848347.96,34585154.33,73182.35978889752
2013-11-01,PF - Acima de 20 salários mínimos            ,61088807586.03,732148237.0,144761.7143339019
2013-11-01,PF - Até 1 salário mínimo                    ,17141612571.39,140675127.69,51582.02919186356
2013-11-01,PF - Indisponível                            ,530873850.87,19075079.97,51758.59787383793
2013-11-01,PF - Mais de 1 a 2 salários mínimos          ,22687246248.829998,460334271.18,30166.59630149049
2013-11-01,PF - Mais de 10 a 20 salários mínimos        ,65843748241.920006,794997936.85,88585.9279417743
2013-11-01,PF - Mais de 2 a 3 salários mínimos          ,39874807298.05,848229082.27,35986.050942878406
2013-11-01,PF - Mais de 3 a 5 salários mínimos          ,49793789249.62,959129774.6,45754.00756738548
2013-11-01,PF - Mais de 5 a 10 salários mínimos         ,59520359068.68,928824898.53,61075.288887761315
2013-11-01,PF - Sem rendimento                          ,2951640789.58,42529092.17,83769.53661731671
2013-12-01,PF - Acima de 20 salários mínimos            ,62245218096.5,723896669.4399999,146227.62238489673
2013-12-01,PF - Até 1 salário mínimo                    ,20494189775.14,125429899.21,55156.56724661453
2013-12-01,PF - Indisponível                            ,521660845.64,17444682.94,51567.31087258026
2013-12-01,PF - Mais de 1 a 2 salários mínimos          ,23066422601.05,394820037.77,30827.55996619341
2013-12-01,PF - Mais de 10 a 20 salários mínimos        ,66328039287.65,751675735.66,88804.94264320048
2013-12-01,PF - Mais de 2 a 3 salários mínimos          ,40704484982.33,724554321.38,36945.47738850317
2013-12-01,PF - Mais de 3 a 5 salários mínimos          ,50235625017.19,801565059.55,46159.88135943194
2013-12-01,PF - Mais de 5 a 10 salários mínimos         ,60052217757.409996,842902421.17,61846.55248517389
2013-12-01,PF - Sem rendimento                          ,3138580354.6,46634926.52,82641.50854567911
2014-01-01,PF - Acima de 20 salários mínimos            ,63555130982.61,793515048.9399999,175814.58805499214
2014-01-01,PF - Até 1 salário mínimo                    ,23649077216.59,158003411.79,60612.33539945689
2014-01-01,PF - Indisponível                            ,512070761.39,17175496.1,51644.8008806357
2014-01-01,PF - Mais de 1 a 2 salários mínimos          ,23382117234.61,410834078.11,29957.20327878438
2014-01-01,PF - Mais de 10 a 20 salários mínimos        ,67415111737.29,789150312.11,97565.75263651993
2014-01-01,PF - Mais de 2 a 3 salários mínimos          ,41251242220.78,781079210.27,37373.44619017232
2014-01-01,PF - Mais de 3 a 5 salários mínimos          ,50851826544.7,874888667.15,47157.97621615956
2014-01-01,PF - Mais de 5 a 10 salários mínimos         ,61216800016.15,902268627.39,65707.73548217014
2014-01-01,PF - Sem rendimento                          ,1140655517.79,32149119.17,65273.47030717033
2014-02-01,PF - Acima de 20 salários mínimos            ,58509401575.46,585958842.76,177977.56698427384
2014-02-01,PF - Até 1 salário mínimo                    ,4127743495.81,97864200.00999999,36228.99769859188
2014-02-01,PF - Indisponível                            ,503924703.24,16113605.24,51266.91469941854
2014-02-01,PF - Mais de 1 a 2 salários mínimos          ,31607112299.84,667966831.33,32917.876508600886
2014-02-01,PF - Mais de 10 a 20 salários mínimos        ,69397449957.55,820971807.54,101051.9016651296
2014-02-01,PF - Mais de 2 a 3 salários mínimos          ,46776068787.740005,959145893.72,40958.887519808275
2014-02-01,PF - Mais de 3 a 5 salários mínimos          ,50509507399.74,878282861.97,47607.90271024127
2014-02-01,PF - Mais de 5 a 10 salários mínimos         ,71411418337.27,1047849604.67,65652.71059464825
2014-02-01,PF - Sem rendimento                          ,6926892085.99,157287035.36,58828.22621740397
2014-03-01,PF - Acima de 20 salários mínimos            ,59821753704.8,622778443.4,174910.8928578105
2014-03-01,PF - Até 1 salário mínimo                    ,15517414850.84,332671745.74,51955.15605642384
2014-03-01,PF - Indisponível                            ,498781058.43,15989094.39,51915.9095598228
2014-03-01,PF - Mais de 1 a 2 salários mínimos          ,32080255573.59,664455725.58,34673.86343119678
2014-03-01,PF - Mais de 10 a 20 salários mínimos        ,69647916559.1,849867966.32,100402.55922544362
2014-03-01,PF - Mais de 2 a 3 salários mínimos          ,46653387376.99,928365692.79,41563.450254881835
2014-03-01,PF - Mais de 3 a 5 salários mínimos          ,50067760878.21,853290626.56,47577.27064323459
2014-03-01,PF - Mais de 5 a 10 salários mínimos         ,71162538170.03,1060575368.5600001,65567.97647541774
2014-03-01,PF - Sem rendimento                          ,417569056.31,19837423.44,70560.44823724842
2014-04-01,PF - Acima de 20 salários mínimos            ,59901882603.04,692007281.45,171357.3742031553
2014-04-01,PF - Até 1 salário mínimo                    ,18825149906.62,375170990.75,54922.52581570584
2014-04-01,PF - Indisponível                            ,491532409.6,19603765.16,52518.3997390524
2014-04-01,PF - Mais de 1 a 2 salários mínimos          ,32044104869.87,746555815.57,34488.55765862522
2014-04-01,PF - Mais de 10 a 20 salários mínimos        ,70343522205.73,924826290.18,101042.93498212467
2014-04-01,PF - Mais de 2 a 3 salários mínimos          ,47586732451.47,1102072112.15,41572.11213801816
2014-04-01,PF - Mais de 3 a 5 salários mínimos          ,50786086438.74,993911822.24,46654.089961148544
2014-04-01,PF - Mais de 5 a 10 salários mínimos         ,72236420170.33,1199525393.02,66174.47994245384
2014-04-01,PF - Sem rendimento                          ,440514988.05,19662372.74,75525.21834316273
2014-05-01,PF - Acima de 20 salários mínimos            ,62949114961.18,738205731.86,179538.03917283667
2014-05-01,PF - Até 1 salário mínimo                    ,16469110166.869999,418338699.66,54372.99317119625
2014-05-01,PF - Indisponível                            ,485871557.45,21149784.14,52738.99798599902
2014-05-01,PF - Mais de 1 a 2 salários mínimos          ,31526491737.67,764129150.86,34771.630700511596
2014-05-01,PF - Mais de 10 a 20 salários mínimos        ,73343259380.81,850466965.26,101732.72454757008
2014-05-01,PF - Mais de 2 a 3 salários mínimos          ,48938907785.32,1101264190.5,41015.26419960152
2014-05-01,PF - Mais de 3 a 5 salários mínimos          ,52131728472.68,951174325.87,46972.63375441004
2014-05-01,PF - Mais de 5 a 10 salários mínimos         ,74838207416.73,1134650687.33,66639.53369337559
2014-05-01,PF - Sem rendimento                          ,444626059.96,22377590.75,76791.03797993425
2014-06-01,PF - Acima de 20 salários mínimos            ,64175569754.590004,730549223.57,179888.50384455995
2014-06-01,PF - Até 1 salário mínimo                    ,17749217619.87,372644350.23,55569.232571430235
2014-06-01,PF - Indisponível                            ,475741569.29,18433769.06,52901.87261391381
2014-06-01,PF - Mais de 1 a 2 salários mínimos          ,32052306870.7,668653405.95,34786.207608126635
2014-06-01,PF - Mais de 10 a 20 salários mínimos        ,74837759092.13,800397869.5,101789.58879403576
2014-06-01,PF - Mais de 2 a 3 salários mínimos          ,50121735541.48,946660929.62,41189.29543362689
2014-06-01,PF - Mais de 3 a 5 salários mínimos          ,53046989116.17,855030804.34,47216.70338709051
2014-06-01,PF - Mais de 5 a 10 salários mínimos         ,76066791109.14,1040473520.99,66726.07144547679
2014-06-01,PF - Sem rendimento                          ,450079476.24,25409572.81,78263.0784786105
2014-07-01,PF - Acima de 20 salários mínimos            ,67885376354.97,777803212.02,180903.30159315196
2014-07-01,PF - Até 1 salário mínimo                    ,14613726763.67,330367176.11,53961.57597446012
2014-07-01,PF - Indisponível                            ,467926713.37,16528911.48,53500.76142794881
2014-07-01,PF - Mais de 1 a 2 salários mínimos          ,31823982954.53,682764766.22,34676.91201688224
2014-07-01,PF - Mais de 10 a 20 salários mínimos        ,77766792535.69,872939084.44,101804.93883063481
2014-07-01,PF - Mais de 2 a 3 salários mínimos          ,51428318870.74,1009637386.98,41118.567288363905
2014-07-01,PF - Mais de 3 a 5 salários mínimos          ,54470125843.33,915905797.09,47200.94522958514
2014-07-01,PF - Mais de 5 a 10 salários mínimos         ,78309305208.36,1118915088.06,66692.0964151623
2014-07-01,PF - Sem rendimento                          ,456441027.06,23395197.2,79009.6919727079
2014-08-01,PF - Acima de 20 salários mínimos            ,69631209876.45999,820106880.35,211645.55220882478
2014-08-01,PF - Até 1 salário mínimo                    ,4743001952.27,106733629.0,50435.63606032571
2014-08-01,PF - Indisponível                            ,462198205.62,15447909.25,53546.75906755477
2014-08-01,PF - Mais de 1 a 2 salários mínimos          ,32639071213.59,689483104.19,35606.74610343949
2014-08-01,PF - Mais de 10 a 20 salários mínimos        ,78588568185.5,877541469.65,106663.96660409168
2014-08-01,PF - Mais de 2 a 3 salários mínimos          ,52490266545.689995,1034334093.9399999,42012.22752011885
2014-08-01,PF - Mais de 3 a 5 salários mínimos          ,55174907297.72,931354765.16,47928.99802182089
2014-08-01,PF - Mais de 5 a 10 salários mínimos         ,79158966841.91,1121767127.27,68756.90058499211
